Typical Measured Spectrum of Semrock LL01-810 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Wavelength(nm) Transmission
618.493	1.01368587719582E-06
621.996	5.38878699908565E-07
626.896	3.21528896720096E-07
631.796	1.31632228806061E-08
636.694	2.45822619196582E-08
642.695	4.91993458757926E-08
646.192	1.57112639585107E-08
650.792	1.28760586267699E-09
652.479	1.35037192843565E-08
652.811	1.35200513978307E-08
653.144	1.35514136404308E-08
653.476	1.36174855577037E-08
653.809	1.36651228646779E-08
654.141	2.7361692877894E-08
654.474	1.36972469677513E-08
654.806	1.37252658103047E-08
655.139	1.37656520826164E-08
655.471	1.38173922485925E-08
655.804	1.38332560657167E-08
656.136	1.38068109292763E-08
656.469	1.37925792965345E-08
656.801	1.37844076343155E-08
657.133	1.37846539491476E-08
657.466	1.37722382583105E-08
657.798	1.37469780414163E-08
658.13	1.37345430140944E-08
658.462	1.37508270356892E-08
658.795	1.37409005595363E-08
659.127	1.37436041512851E-08
659.459	1.37928999950286E-08
659.791	1.38024053160494E-08
660.124	1.38187705816535E-08
660.456	1.24821033507894E-07
660.788	1.38667218844999E-08
661.12	1.38885014412381E-08
661.452	1.39269260475382E-08
661.784	1.39782975166877E-08
662.116	1.40219594726369E-08
662.449	1.40690616954401E-08
662.781	2.25538454703892E-07
663.113	1.41325212144316E-08
663.445	1.41278456961994E-08
663.777	5.65714896861928E-08
664.109	1.41445143308829E-08
664.441	1.41206870651304E-08
664.773	1.41313880217083E-08
665.105	1.41450670633049E-08
665.436	1.41370285669607E-08
665.768	1.40900432303404E-08
666.1	1.4075894389884E-08
666.432	1.40800667929649E-08
666.764	1.40604222644308E-08
667.096	4.20344101506519E-08
667.428	5.60012535125755E-08
667.76	1.40185032161968E-08
668.091	1.40336884350457E-08
668.423	1.40571460526332E-08
668.755	1.40764818574195E-08
669.087	1.4074973803184E-08
669.418	1.40883538033708E-08
669.75	1.41629771873259E-08
670.082	1.41916531078898E-08
670.413	1.41703405346922E-08
670.745	1.41964919292163E-08
671.077	1.42763201157266E-08
671.408	1.43171073746845E-08
671.74	1.43251013581686E-08
672.072	1.43383985986702E-08
672.403	1.4337590393181E-08
672.735	1.43682344658767E-08
673	2.59161071503287E-08
673.893	3.1001773726865E-08
677.559	1.28864794123049E-09
681.224	1.28932952890772E-09
684.886	1.29602448874319E-09
688.546	1.30578336900849E-09
692.204	1.31673280500356E-09
695.86	1.33856339581709E-09
699.514	1.35501782699492E-09
703.166	1.35945593628497E-09
706.816	1.36031027507752E-09
710.464	1.36750686218801E-09
714.11	4.56557546158747E-08
717.754	6.52886280675432E-08
721.396	1.79924289509571E-07
725.036	1.51965164234504E-09
728.674	1.54774464750987E-09
731.414	7.47405540102736E-10
734.891	7.26970032828346E-10
739.792	7.02041701889715E-10
744.693	1.36113010462768E-09
749.592	6.64848556890495E-10
754.49	2.60768589009133E-09
759.394	6.44795245391342E-10
764.297	5.74294555839316E-09
769.195	9.48562263396558E-10
774.092	6.27129216609187E-10
778.993	9.39035006926014E-09
782.761	1.65881547737964E-08
786.226	2.41983462721247E-08
788.557	1.88772703110523E-08
790.153	8.86149240671375E-09
790.647	8.81517153084005E-09
791.142	8.83411018167158E-09
791.452	8.84930047011276E-09
791.947	8.85815471744938E-09
792.442	8.88415579728827E-09
792.751	2.66358748215948E-08
793.246	8.86514561828971E-09
793.741	8.86987100182217E-09
794.051	4.44299587736859E-08
794.546	2.22182979683375E-07
795.04	8.89335854142942E-09
795.35	1.51553565074459E-07
795.845	8.92712598310001E-09
796.339	8.9388441473021E-09
796.648	8.94711218413291E-09
797.142	1.78868309646367E-08
797.637	3.57851545620022E-08
797.946	8.94710366605574E-09
798.441	8.91306038877499E-09
798.935	1.2495695928392E-07
799.253	8.96250000230476E-09
799.747	8.98589207489118E-09
800.242	7.1794940674562E-08
800.551	7.17801549631392E-08
801.045	2.69634185363344E-07
801.54	5.13879516012247E-07
801.848	5.04695578378013E-07
802.342	9.27444195991692E-07
802.836	1.88562902125971E-06
803.155	2.62541978236749E-06
803.649	4.74783041697833E-06
804.143	8.72270639624985E-06
804.452	1.31830272274367E-05
804.946	2.66586199265488E-05
805.44	5.82286818702907E-05
805.6	7.4042693088092E-05
805.625	7.61653780843628E-05
805.707	9.06313220133417E-05
805.789	0.000104284237636061
805.872	0.000119191706131816
805.954	0.000138183851207867
806.036	0.000163932691725459
806.119	0.000188787780041915
806.201	0.000221309972464287
806.284	0.000259498088755772
806.366	0.00030060765388515
806.448	0.000359400137752086
806.531	0.000428038319083731
806.613	0.000514639719949663
806.695	0.00061729038651501
806.778	0.00074669241168591
806.86	0.000910451097328737
806.9	0.00105803063219219
806.931	0.00118337608690943
807.013	0.00144413347404307
807.096	0.00175642480414753
807.178	0.00216966249624601
807.26	0.00265617848680774
807.343	0.00331154062409877
807.425	0.00415397064892188
807.508	0.0052411830534596
807.59	0.00669790352607081
807.672	0.00861426853883811
807.755	0.0111630669458745
807.837	0.0145988649815522
807.919	0.019243732163662
808.002	0.0256496901333413
808.084	0.0345282982522523
808.166	0.0469993518901029
808.2	0.0541761707677756
808.271	0.109715980522281
808.354	0.151791349127489
808.436	0.209973721583293
808.519	0.287544147639656
808.601	0.385950692143939
808.684	0.501276647546433
808.766	0.62375125855851
808.849	0.738301248493575
808.931	0.832689847240554
809.014	0.899704662071277
809.096	0.940663775600509
809.179	0.961467759616655
809.261	0.970011510018065
809.344	0.972157651227705
809.426	0.971521344676092
809.509	0.970814844047085
809.591	0.970897644972072
809.674	0.971925375164703
809.756	0.973575993383087
809.839	0.975120854908146
809.921	0.976495834218336
810.004	0.97690194349286
810.086	0.9764517236268
810.169	0.975298322497402
810.251	0.973746748824586
810.334	0.971226694257631
810.416	0.968320087043355
810.499	0.965221213424323
810.581	0.961648634061577
810.664	0.958051037191048
810.746	0.953490558730466
810.829	0.948037018830833
810.911	0.940978271313823
810.994	0.931590785359407
811.076	0.91941847268572
811.159	0.902373738360858
811.241	0.877877971194514
811.324	0.844257227744748
811.406	0.799545145577484
811.489	0.742508203972542
811.571	0.673061391854468
811.654	0.593055615308244
811.736	0.507526842367329
811.819	0.421655130444057
811.901	0.341399946472104
811.984	0.270116715450929
812.066	0.209725600393655
812.1	0.258925732177673
812.123	0.240256576635727
812.206	0.185216380597965
812.288	0.141292990461677
812.37	0.107071409216659
812.453	0.0809323153115972
812.535	0.06118191310101
812.617	0.0463923227722127
812.7	0.0353639411760567
812.782	0.0271463829560997
812.864	0.0209555256035452
812.947	0.0163577286703855
813.029	0.0128656414684967
813.111	0.0101722335148173
813.193	0.00809009858413702
813.276	0.00649818329525323
813.358	0.00525687048952622
813.4	0.00427982744094541
813.427	0.00352144797807773
813.509	0.00284110865806903
813.592	0.00229782096530891
813.674	0.00187794129402191
813.756	0.00154231934704576
813.839	0.00126268483338479
813.921	0.00104660874034608
814.003	0.000880404661445005
814.086	0.000727910818147496
814.168	0.000617028039228499
814.25	0.000515465253440077
814.333	0.000441799383773765
814.415	0.000372155771148906
814.497	0.000319610784318924
814.579	0.000271094578195442
814.662	0.000231517954667948
814.7	0.000216302550145357
814.854	0.000166805882040018
815.348	7.19796431525022E-05
815.842	3.47435506449597E-05
816.147	2.26842140709464E-05
816.641	1.15957542938656E-05
817.135	6.93468825380585E-06
817.45	5.18905127660829E-06
817.944	2.94975615049949E-06
818.437	2.07580175401027E-06
818.752	2.06500883351577E-06
819.246	9.79463412016433E-07
819.74	9.93935636925555E-07
820.055	1.0426994886451E-06
820.548	4.18293666114749E-07
821.042	3.14816951854527E-07
821.348	8.50316051043613E-07
821.841	1.43604156927432E-07
822.335	2.58513446368924E-07
822.65	5.17260369076512E-07
823.144	1.15179696464449E-07
823.637	1.64379779216303E-07
823.952	3.48779555162144E-07
824.446	9.66847106212146E-09
824.939	9.69764540918991E-09
825.253	2.72126580242391E-07
825.747	9.74159224013957E-09
826.24	9.73516267439038E-09
826.546	2.53296158580919E-07
827.047	3.90422893248859E-08
827.54	9.77588793276347E-09
828.041	9.75073484864869E-09
829.637	7.02962463265504E-10
833.091	7.08344196045835E-10
837.995	7.07114410786655E-10
842.899	7.02658983744893E-10
847.796	6.91244237977479E-10
852.694	4.79561989930413E-09
857.596	6.94398827953015E-10
862.497	6.97981598082179E-10
867.397	4.82474623404059E-09
872.296	6.85808700226689E-10
877.194	6.75266988881602E-10
881.973	6.50726104115211E-10
885.413	1.80134469669155E-08
888.736	2.10315368862656E-08
890.992	5.83962697166325E-10
894.596	5.75463903524455E-10
898.198	5.7003310210005E-10
901.799	5.65646394436143E-10
905.397	5.65114443597878E-10
908.994	5.66133949556652E-10
912.589	5.72201813913582E-10
916.181	5.80910405270946E-10
919.772	5.96473768063338E-10
923.361	6.21288517978672E-10
926.948	6.54250268330262E-10
930.534	7.04220284754462E-10
932	1.44590694706818E-08
934.61	7.90948274725677E-10
938.202	1.11484405234106E-09
941.792	1.50310301026449E-09
945.38	1.56453241115102E-09
948.966	1.39649076069805E-09
952.551	1.21927370392601E-09
956.133	1.10282101645204E-09
959.714	1.02949633476031E-09
963.292	9.94653531040184E-10
966.869	9.88404430899397E-10
970.444	9.94922171989108E-10
972	6.72632317350369E-08
974.558	3.40500316492447E-07
978.146	1.06185660024206E-06
981.732	3.28616264076712E-07
985.317	1.31570727630749E-07
988.899	2.69610740595558E-07
992.48	9.71738566640949E-07
996.058	3.26713903319006E-07
999.635	1.44563589169645E-09
1000	1.4766070393912E-09
1001.044	1.50859195707149E-09
1004.626	1.62179230343691E-09
1008.207	1.77847048082394E-09
1011.785	1.95727028357207E-09
1015.361	2.1649123520718E-09
1018.936	2.41294728313516E-09
1022.508	2.7113755723124E-09
1025	2.96523470321319E-09
1026.101	3.07515532836546E-09
1029.677	3.43654502543645E-09
1033.25	3.8845809638821E-09
1036.821	4.43465105822811E-09
1040.391	5.17394697277887E-09
1043.959	6.13160494830158E-09
1045	6.45649633506992E-09
1046.161	6.66811860637871E-09
1049.73	7.2878417836735E-09
1053.298	8.01145960070853E-09
1056.864	3.51104811157393E-08
1060.429	9.7392953365692E-09
1063.991	1.08004584814135E-08
1065	1.22776803767604E-08
1066.207	1.32284979056148E-08
1069.772	1.5089189933054E-08
1073.334	1.67417301783527E-08
1076.895	1.86239381895679E-08
1080.453	2.27592578851523E-07
1084.01	2.29253323063415E-08
1087.565	2.57175747373151E-07
1090	1.08741629603094E-07
1091.272	2.97568494137353E-08
1094.829	3.36715740688825E-08
1098.385	3.88285788063585E-08
1101.939	1.02270783144636E-06
1105.491	5.11623864188579E-08
1109.041	5.95894440345685E-08
1112.589	7.01014435695517E-08
1116.135	8.27700811842504E-08
1119.68	1.66236176759088E-06
1120	5.42938803318505E-06
1125	3.89047728275006E-06
1130	4.15447840034526E-06
1135	3.95201337766428E-06
1140	4.07732252385223E-06
1145	4.24725425920924E-06
1150	4.13011855918336E-06
